＜店舗情報記録部分＞,,青色のセルに記入,,,,　記入にあたってのお願い
8,コーヒー（Ｉ）,冷たい珈琲です。お好みでシロップとフレッシュを入れてストローでお飲みください。そのままブラックでも美味しくお飲み頂けます。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５５０　￥６０５税込み　　お得価格￥３００　￥３３０税込み,,"例2 「釜めし亭」
釜飯（小さな釜で炊いたご飯）がメインの和食居酒屋です。
具材は海鮮、肉、野菜など種類豊富で、注文ごとに一釜ずつ丁寧に炊き上げています。炊きたての釜飯は、ふっくらしたご飯と具材の旨味が特徴です。季節限定の釜飯や、お酒に合う一品料理もご用意しています。木の温もりを感じる落ち着いた店内で、気軽に本格的な和食を楽しめます。"
9,カフェオレ（H）,暖かい珈琲に暖かいミルクを入れています。お好みで砂糖を入れてお飲みください。そのままでも美味しくお飲み頂けます。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５８０　￥６３８税込み　　お得価格￥３００　３３０税込み,,
10,カフェオレ（Ｉ）,冷たい珈琲に冷たいミルクを入れています。お好みでシロップを入れてストローでお飲みください。そのままでも美味しくお飲み頂けます。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５８０　￥６３８税込み　　お得価格￥３００　３３０税込み,,
11,ウインナーコーヒー（H）,暖かい珈琲の上に生クリームをたっぷりのせてココアパウダーを振りかけています。スプーンでかき混ぜてお飲みください。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥６２０　￥６８２税込み　　お得価格￥３５０　￥３８５税込み,,
12,紅茶（Ｈ）,暖かいダージリンティーです。ポットからカップに移して、お好みで砂糖と暖かいミルクを入れてお飲みください。そのままストレートでも美味しくお飲み頂けます。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
13,紅茶（Ｉ）,冷たい紅茶です。最初からシロップが入っています。お好みで冷たいミルクを入れてストローでお飲みください。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
14,ココア（Ｈ）,暖かいココアの上に生クリームをたっぷりのせてココアパウダーを振りかけています。スプーンでかき混ぜてお飲みください。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥６２０　￥６８２税込み　　お得価格￥３５０　￥３８５税込み,,
15,ココア（Ｉ）,冷たいココアの上に生クリームをたっぷりのせてココアパウダーを振りかけています。スプーンでかき混ぜてストローお飲みください。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥６２０　￥６８２税込み　　お得価格￥３５０　￥３８５税込み,,
16,コーンスープ(カップ),暖かいカップに入ったコーンスープです。ミルクたっぷり、コーンたっぷり！そのまま飲んでいただけます。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
17,ミルク(H),当店自慢（鳥取県大山の麓にある岸田牧場）の牛乳を温めております。そのまま飲んでいただけます。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
18,ミルク(Ⅰ),当店自慢（鳥取県大山の麓にある岸田牧場）の牛乳です。そのまま飲んでいただけます。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
19,ミックスジュース,みかん、白桃、バナナ、当店こだわりの牛乳とアイスクリームをミッスクしたジュースです。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥６８０　￥７４８税込み　　お得価格￥３５０　￥３８５税込み,,
20,ティーソーダ,冷たい紅茶の原液を炭酸水で割ったものです。シロップは入っています。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
21,コーラ,コカ・コーラです。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥３５０　￥３８５税込み　　お得価格￥２６０　￥２８６税込み,,
22,ジンジャエール,生姜の入った炭酸飲料です。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥３５０　￥３８５税込み　　お得価格￥２６０　￥２８６税込み,,
23,烏龍茶(H),中国茶の一種です。温めています。そのままお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥３５０　￥３８５税込み　　お得価格￥２６０　￥２８６税込み,,
24,烏龍茶(Ⅰ),中国茶の一種です。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥３５０　￥３８５税込み　　お得価格￥２６０　￥２８６税込み,,
25,オレンジジュース１００％,オレンジ１００％ジュースです。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
26,炭酸水,瓶に入ったまま提供いたします。そのままお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
27,ソーダ（七色）,7種類の味・色から選べる炭酸飲料です。いちご・ブルーハワイ・オレンジ・メロン・巨峰・ライム・パインです。ストローでお飲みください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥４２０　￥４６２税込み　　お得価格￥２６０　￥２８６税込み,,
28,コーヒーフロート,アイスコーヒーの上にソフトクリームがのっています。別々に召し上がってもソフトクリームと混ぜて飲んでも美味しく頂けます。スプーンとストローでお召し上がりください。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥７００　￥７７０税込み　　お得価格￥３５０　￥３８５税込み,,
29,コーラフロート,コカ・コーラの上にソフトクリームがのっています。２７番を参考にどうぞ。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５５０　￥６０５税込み　　お得価格￥３５０　￥３８５税込み,,
30,ソーダフロート,２６番ソーダ（七色）の上にソフトクリームがのっています。２７番の写真を参考にどうぞ。また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５８０　￥６３８税込み　　お得価格￥３００　３３０税込み,,
31,チューハイ,焼酎をソフトドリンクで割ったもの。いちご・ブルーハワイ・オレンジ・メロン・巨峰・ライム・パイン・レモンの８種類から選べます。,,￥６００　￥６６０税込み　　,,
32,ハイボール,ウイスキーを炭酸水で割ったもの。,,￥６００　￥６６０税込み　　,,
33,瓶ビール（小）,小瓶の瓶ビール。キリンラガーとアサヒスーパードライから選べる,,￥６２０　￥６８２税込み　　,,
34,瓶ビール（中）,中瓶の瓶ビール。キリンラガーとアサヒスーパードライから選べる,,￥９００　￥９９０税込み　　,,
35,赤ワイン,スパイシーな香りとチリの暖かい気候の華やかさを持ったカベルネ。程よいタンニンがお料理を引き立てます。,,￥６００　￥６６０税込み　　,,
36,白ワイン,完熟した洋梨やパイナップルの豊かなアロマで程よいコクのある味わいです。,,￥６００　￥６６０税込み　　,,
37,ノンアルコールビール,アルコールの入ってないビール。キリングリーンズフリーとアサヒドライゼロから選べます,,￥５２０　￥５７２税込み　　,,
38,ビーフカレー,お肉屋さんが開発した牛肉がたくさん入ったたっぷりサイズのカレー。　ミニサラダ付き。スプーンでご飯とルーを合わせながら食べて頂くと美味しく頂けます。,,￥９００　￥９９０税込み　　,,
39,ペペロンチーノ,ネギとソーセージが入ったペペロンチーノ。ミニサラダとパンがついてます。,,￥１，２００　￥１，３２０税込み　　,,
40,和風パスタ,豚肉とほうれん草、しめじが入った和風味のパスタ。ミニサラダとパンがついてます。,,￥１，２００　￥１，３２０税込み　　,,
41,煮込みハンバーグ,ハンバーグが2個入ったシチューのように具だくさんの煮込みハンバーグ。パン又はライスとミニサラダがついています。,,￥１，４００　￥１，５４０税込み　　,,
42,オムライス,ベーコンと玉ねぎの入ったケチャップライスに玉子がたっぷり載っています。ミニサラダが付いています。,,￥１，０００　￥１，１００税込み　(少なめ)￥８００￥８８０税込み　　,,
43,玉子たっぷりレタスチャーハン,玉子がたっぷり入ったレタス入り焼き飯。ミニサラダが付いています。少なめサイズもご用意されています。,,￥１，０００　￥１，１００税込み　(少なめ)￥８００￥８８０税込み　　,,
44,クリームシチュー,鶏肉、ニンジン玉ねぎ、ほうれん草が入ったクリームシチュー　。パンとミニサラダが付いています。,,￥１，２００　￥１，３２０税込み　　,,
45,玉子焼きサンド,当店こだわりの平飼い玉子を塩で味付けたっぷり3個使った玉子焼きサンド。,,￥８６０　￥９４６税込み　　,,
46,玉子サラダサンド,当店こだわりの平飼い玉子とマヨネーズで玉子サラダを作りサンドした玉子サラダサンド。,,￥８６０　￥９４６税込み　　,,
47,玉子サラダドック,当店こだわりの平飼い玉子とマヨネーズで玉子サラダを作りロールパンにサンドして少し焼き目をつけた玉子サラダサンド。,,￥４４０　￥４８４税込み　　,,
48,トーストセット（ミニサラダ付き）,厚切りのトーストにミニサラダとあんこ、フォイップ、イチゴジャムが付いたセット。トーストに三種を塗りながら食べて頂くといろんな味もためせます。,,￥４８０　￥５２８税込み　　,,
49,フレンチトースト,こだわりの牛乳で作ったアイスクリーム液に漬込みゆっくり焼き上げこだわりのアイスクリームとはちみつをかけた一品です。ナイフで切ってホークで召し上がり下さい。,,￥６８０　￥７４８税込み　　,,
50,パウンドケーキ,５種類のフルーツを使用したケーキ。２つ付いてます。,,￥２００　￥２２０税込み　　,,
51,レーズンクリームサンド,ラム酒漬けレーズンをトッピングしたふんわり生地で、ミルク風味クリームをサンドしました。　２つ付いてます。,,￥２４０　￥２６４税込み　　,,
52,３種ブッセ,ふんわりソフトな食感のミニブッセ。３種、チーズクリーム、チョコクリーム、バニラクリーム。３つ付いています。,,￥２００　￥２２０税込み　　,,
53,プレーンクッキー,サクサクほどけるコクのある卵の黄金比率クッキー。２枚付いてます,,￥１００　￥１１０税込み　　,,
54,チョコチップクッキー,たっぷりなめらかなチョコチップが入ったクッキー。２枚付いてます,,￥１００　￥１１０税込み　　,,
55,懐かしのミレー,日本で昔から愛されているビスケット。,,￥１５０　￥１６５税込み　　,,
56,ライス,こだわりの国産米。大盛もあります。,,￥１５０　￥１６５税込み　(大盛)￥２５０￥２７５税込み　　,,
57,パン,厚切りパン4分の１を2枚とロールパンが1つ付いています。備え付けのマーガリンを塗ってお召し上がりください。そのまま食べても美味しいパンです。,,￥１５０　￥１６５税込み　　,,
58,ミニサラダ,こだわりの直送野菜に季節に合わせて変わるオリジナルとレッシングがかかっています。,,￥１５０　￥１６５税込み　　,,
59,コーヒーゼリー,当店のこだわりコーヒーで作ったゼリーに生クリームがのっています。フレッシュやシロップをかけても美味しく頂けます。,,￥３５０　￥３８５税込み　　,,
60,ミニソフト,こだわりのソフトクリームです。スプーンでお召し上がりください。,,￥２００　￥２２０税込み　　,,
61,クリスピーメイプルコーン,こだわりのソフトクリームに合うメープルの入ったサクサク食感のコーンに入っています。そのままかぶりついて食べてください。,,￥３００　￥３３０税込み　　,,
62,ワッフルボール,こだわりのソフトクリームをワッフル生地で作ったカップに入れています。スプーンでお召し上がりください。,,￥４００　￥４４０税込み　　,,
63,ハッピーサンデー,こだわりのソフトクリームに生クリームとあんこがトッピングされています。ハートのウェハーも合います。スプーンでお召し上がりください。,,￥４８０　￥５２８税込み　　,,
64,オニオンカレー,玉ねぎで有名な淡路島産の玉ねぎを一食に１個使用しています。31種類のスパイスの入ったスパイシーなカレーライスです。スプーンでお召し上がりください。,,￥１，１００　￥１，２１０税込み　　,,
65,マッサマンカレー,ココナッツのクリーミーな味と香り豊かなスパイスの入ったカレー。パン又はライスが付いています。スプーンでお召し上がりください。ランチタイムの11時から15時は＋100円でミニサラダが付いています。,,￥１，３００　￥１，４３０税込み　　,,
66,デミグラスビーフシチュー,肉のプロがつくるシチュー大きなお肉が特徴です。ナイフで切ってお召し上がりください。ランチタイムの11時から15時は＋100円でパン又はライスとミニサラダがついています。,,￥１，３００　￥１，４３０税込み　　,,
67,コロッケ３種,黒毛和牛コロッケ、天然甘えびクリームコロッケ、極上ミンチカツの3種類が付いています。マヨネーズソースを混ぜてナイフで１口大に切ってソースを付けてお召し上がりください。こだわり産地直送サラダはオリジナルドレッシングがかかっています。そのままお召し上がりください。ランチタイムの11時から15時は＋100円でパン又はライスがついています。,,￥１，１００　￥１，２１０税込み　　,,
68,チャプチェチャーハン,チャプチェ（春雨）の入った奥深い甘さの味のチャーハンです。スプーンでお召し上がりください。ランチタイムの11時から15時は＋100円でミニサラダがついています。,,￥１，１００　￥１，２１０税込み　　,,
69,レギュームの玄米リゾット,自家製野菜ブイヨンと、きのこ＆トマトで作った特製ソースでリゾットにしています。スプーンでお召し上がりください。,,￥１，３００　￥１，４３０税込み　　,,
70,牛すじトマトソース,牛すじ肉をトマトソースで仕上げたスパゲッティ。フォークとスプーンでお召し上がりください。ランチタイムの11時から15時は＋100円でパン又はライスとミニサラダがついています。,,￥１，１００　￥１，２１０税込み　　,,
71,ボロネーゼ,粗めのミンチ肉でごろっとした肉肉しい食感と、トマトの酸味、肉の旨味、そして野菜の甘味が絶妙なバランスのボロネーゼソースのスパゲッティです。,,￥１，８２０　￥２，００２税込み　　,,
72,渡り蟹のトマトクリームソースパスタ,蟹身がたっぷり入った、程よい塩味とトマトクリームの濃厚な味わいのスパゲッティ。ランチタイムの11時から15時は＋100円でパン又はライスとミニサラダがついています。,,￥１，３００　￥１，４３０税込み　　,,
73,牛ハラミ,自家製秘伝のたれに付け込んだハラミ肉です。そのままお召し上がりください。,,￥１，５００　￥１，６５０税込み　　,,
74,薬膳茶漬けセット,北海道産の天然の汐吹き昆布をと薬膳茶は黒豆茶をベースにした天然生薬作ったノンカフェイン、ウコン配合です。ご飯に昆布をのせて薬膳茶をかけてお召し上がりください。,,￥８５０　￥９３５税込み　　,,
75,豆大福,もちもちとした塩粒大福餅。２個ついています。,,￥４００　￥４４０税込み　　,,
76,焙煎まこも茶,真菰の葉のお茶。湯呑にいれてお召し上がりください。,,￥３５０　￥３８５税込み　　,,
77,まめちゃんのグリーンコーヒー,焙煎前の生豆を使ったコーヒー,,￥３５０　￥３８５税込み　　,,
78,酵素ドリンク,酵素の入った炭酸飲料,,￥５８０　￥６３８税込み　　,,
79,ＪＷティー,ブレンドハーブ茶,,￥４２０　￥４６２税込み　　,,
